NUTS;GIVENNAME;COUNT;RANKING;SEX;YEAR
DE212;Maximilian;165;1;male;2012
DE212;Jakob;123;2;male;2012
DE212;Felix;113;3;male;2012
DE212;David;108;4;male;2012
DE212;Paul;104;5;male;2012
DE212;Moritz;87;6;male;2012
DE212;Jonas;87;6;male;2012
DE212;Alexander;86;8;male;2012
DE212;Lukas;85;9;male;2012
DE212;Anton;77;10;male;2012
DE212;Emil;76;11;male;2012
DE212;Julian;74;12;male;2012
DE212;Noah;73;13;male;2012
DE212;Leopold;72;14;male;2012
DE212;Valentin;70;15;male;2012
DE212;Leon;69;16;male;2012
DE212;Vincent;68;17;male;2012
DE212;Luis;65;18;male;2012
DE212;Samuel;64;19;male;2012
DE212;Elias;61;20;male;2012
DE212;Benjamin;57;21;male;2012
DE212;Daniel;53;22;male;2012
DE212;Leo;53;22;male;2012
DE212;Julius;51;24;male;2012
DE212;Jonathan;50;25;male;2012
DE212;Oskar;50;25;male;2012
DE212;Theo;48;27;male;2012
DE212;Tim;47;28;male;2012
DE212;Philipp;47;28;male;2012
DE212;Simon;46;30;male;2012
DE212;Niklas;46;30;male;2012
DE212;Raphael;44;32;male;2012
DE212;Ben;44;32;male;2012
DE212;Sebastian;42;34;male;2012
DE212;Max;41;35;male;2012
DE212;Fabian;41;35;male;2012
DE212;Benedikt;40;37;male;2012
DE212;Henri;37;38;male;2012
DE212;Xaver;37;38;male;2012
DE212;Luca;36;40;male;2012
DE212;Ferdinand;36;40;male;2012
DE212;Louis;35;42;male;2012
DE212;Michael;34;43;male;2012
DE212;Theodor;34;43;male;2012
DE212;Gabriel;33;45;male;2012
DE212;Ludwig;32;46;male;2012
DE212;Henry;32;46;male;2012
DE212;Nicolas;32;46;male;2012
DE212;Johannes;32;46;male;2012
DE212;Florian;31;50;male;2012
DE212;Leonard;31;50;male;2012
DE212;Adrian;29;52;male;2012
DE212;Dominik;28;53;male;2012
DE212;Matteo;28;53;male;2012
DE212;Levi;28;53;male;2012
DE212;Konstantin;28;53;male;2012
DE212;Kilian;28;53;male;2012
DE212;Tobias;27;58;male;2012
DE212;Liam;27;58;male;2012
DE212;Jan;26;60;male;2012
DE212;Johann;25;61;male;2012
DE212;Finn;25;61;male;2012
DE212;Rafael;24;63;male;2012
DE212;Erik;23;64;male;2012
DE212;Adam;23;64;male;2012
DE212;Oliver;23;64;male;2012
DE212;Lorenz;22;67;male;2012
DE212;Carl;21;68;male;2012
DE212;Korbinian;21;68;male;2012
DE212;Ali;21;68;male;2012
DE212;Luka;20;71;male;2012
DE212;Karl;20;71;male;2012
DE212;Filip;19;73;male;2012
DE212;Jonah;19;73;male;2012
DE212;Elyas;19;73;male;2012
DE212;Thomas;19;73;male;2012
DE212;Nico;18;77;male;2012
DE212;Stefan;17;78;male;2012
DE212;Frederik;17;78;male;2012
DE212;Arthur;17;78;male;2012
DE212;Hugo;17;78;male;2012
DE212;Tom;17;78;male;2012
DE212;Constantin;17;78;male;2012
DE212;Hannes;17;78;male;2012
DE212;Nils;17;78;male;2012
DE212;Franz;17;78;male;2012
DE212;Lucas;16;87;male;2012
DE212;Ibrahim;16;87;male;2012
DE212;Bastian;16;87;male;2012
DE212;Matthias;15;90;male;2012
DE212;Philip;15;90;male;2012
DE212;Mateo;15;90;male;2012
DE212;Toni;15;90;male;2012
DE212;Leonardo;15;90;male;2012
DE212;Marlon;15;90;male;2012
DE212;Marko;15;90;male;2012
DE212;Christian;14;97;male;2012
DE212;Yusuf;14;97;male;2012
DE212;Lion;14;97;male;2012
DE212;Andreas;14;97;male;2012
DE212;Malik;14;97;male;2012
DE212;Levin;14;97;male;2012
DE212;Joshua;13;103;male;2012
DE212;Milan;13;103;male;2012
DE212;Aaron;13;103;male;2012
DE212;Noel;13;103;male;2012
DE212;Linus;13;103;male;2012
DE212;Bruno;12;108;male;2012
DE212;Martin;12;108;male;2012
DE212;Justus;12;108;male;2012
DE212;Robert;12;108;male;2012
DE212;Ilyas;11;112;male;2012
DE212;Jacob;11;112;male;2012
DE212;Mark;11;112;male;2012
DE212;Gustav;11;112;male;2012
DE212;Jannik;11;112;male;2012
DE212;Mats;11;112;male;2012
DE212;Marc;11;112;male;2012
DE212;Emir;11;112;male;2012
DE212;Vitus;11;112;male;2012
DE212;Quirin;11;112;male;2012
DE212;Marco;11;112;male;2012
DE212;Oscar;11;112;male;2012
DE212;Emilio;11;112;male;2012
DE212;Lennard;11;112;male;2012
DE212;Henrik;10;126;male;2012
DE212;Mert;10;126;male;2012
DE212;Mohammed;10;126;male;2012
DE212;Mika;10;126;male;2012
DE212;Hamza;10;126;male;2012
DE212;Leonhard;10;126;male;2012
DE212;August;10;126;male;2012
DE212;William;10;126;male;2012
DE212;Peter;10;126;male;2012
DE212;Damian;10;126;male;2012
DE212;Viktor;10;126;male;2012
DE212;Diego;10;126;male;2012
DE212;Markus;10;126;male;2012
DE212;Amir;10;126;male;2012
DE212;Deniz;10;126;male;2012
DE212;Nikolas;10;126;male;2012
DE212;Tristan;10;126;male;2012
DE212;Leander;10;126;male;2012
DE212;Caspar;9;144;male;2012
DE212;Jasper;9;144;male;2012
DE212;Lennart;9;144;male;2012
DE212;Laurenz;9;144;male;2012
DE212;Benno;9;144;male;2012
DE212;Younes;9;144;male;2012
DE212;Otto;9;144;male;2012
DE212;John;9;144;male;2012
DE212;Carlo;9;144;male;2012
DE212;Konrad;9;144;male;2012
DE212;Fritz;9;144;male;2012
DE212;Christopher;9;144;male;2012
DE212;Manuel;9;144;male;2012
DE212;Mohammad;9;144;male;2012
DE212;Lasse;9;144;male;2012
DE212;Georgios;9;144;male;2012
DE212;Lionel;9;144;male;2012
DE212;Maxim;9;144;male;2012
DE212;Muhammad;9;144;male;2012
DE212;Mustafa;8;163;male;2012
DE212;Enes;8;163;male;2012
DE212;Severin;8;163;male;2012
DE212;Mohamed;8;163;male;2012
DE212;Ahmed;8;163;male;2012
DE212;Laurin;8;163;male;2012
DE212;Jona;8;163;male;2012
DE212;Ioannis;8;163;male;2012
DE212;Georg;8;163;male;2012
DE212;Patrick;8;163;male;2012
DE212;Timo;8;163;male;2012
DE212;Friedrich;8;163;male;2012
DE212;Kian;8;163;male;2012
DE212;Alessio;8;163;male;2012
DE212;Eric;8;163;male;2012
DE212;Joel;8;163;male;2012
DE212;Clemens;7;179;male;2012
DE212;Ole;7;179;male;2012
DE212;Alex;7;179;male;2012
DE212;Fabio;7;179;male;2012
DE212;Arian;7;179;male;2012
DE212;Sami;7;179;male;2012
