NUTS;GIVENNAME;COUNT;RANKING;SEX;YEAR
DE212;Anna;109;1;female;2013
DE212;Sophia;108;2;female;2013
DE212;Emilia;103;3;female;2013
DE212;Emma;93;4;female;2013
DE212;Sophie;80;5;female;2013
DE212;Marie;78;6;female;2013
DE212;Johanna;77;7;female;2013
DE212;Mia;71;8;female;2013
DE212;Helena;67;9;female;2013
DE212;Luisa;66;10;female;2013
DE212;Laura;65;11;female;2013
DE212;Lena;65;11;female;2013
DE212;Ella;64;13;female;2013
DE212;Amelie;62;14;female;2013
DE212;Clara;61;15;female;2013
DE212;Lara;60;16;female;2013
DE212;Julia;55;17;female;2013
DE212;Lina;53;18;female;2013
DE212;Theresa;52;19;female;2013
DE212;Paula;51;20;female;2013
DE212;Antonia;50;21;female;2013
DE212;Emily;50;21;female;2013
DE212;Elisa;49;23;female;2013
DE212;Lea;49;23;female;2013
DE212;Marlene;48;25;female;2013
DE212;Charlotte;47;26;female;2013
DE212;Magdalena;47;26;female;2013
DE212;Hannah;46;28;female;2013
DE212;Greta;45;29;female;2013
DE212;Leonie;43;30;female;2013
DE212;Matilda;43;30;female;2013
DE212;Mila;43;30;female;2013
DE212;Hanna;42;33;female;2013
DE212;Valentina;42;33;female;2013
DE212;Maja;40;35;female;2013
DE212;Sarah;40;35;female;2013
DE212;Sara;37;37;female;2013
DE212;Franziska;35;38;female;2013
DE212;Maria;35;38;female;2013
DE212;Josephine;34;40;female;2013
DE212;Mathilda;33;41;female;2013
DE212;Isabella;32;42;female;2013
DE212;Elena;31;43;female;2013
DE212;Lisa;31;43;female;2013
DE212;Sofia;31;43;female;2013
DE212;Victoria;31;43;female;2013
DE212;Katharina;30;47;female;2013
DE212;Klara;30;47;female;2013
DE212;Lilly;30;47;female;2013
DE212;Annika;29;50;female;2013
DE212;Elisabeth;29;50;female;2013
DE212;Alina;26;52;female;2013
DE212;Ida;25;53;female;2013
DE212;Carla;24;54;female;2013
DE212;Leni;24;54;female;2013
DE212;Carlotta;23;56;female;2013
DE212;Lucia;23;56;female;2013
