NUTS;GIVENNAME;COUNT;RANKING;SEX;YEAR
DEA1F048;Leon;16;1;male;2005
DEA1F048;Maximilian;16;1;male;2005
DEA1F048;Paul;13;3;male;2005
DEA1F048;Tom;12;4;male;2005
DEA1F048;Felix;10;5;male;2005
DEA1F048;Jan;10;5;male;2005
DEA1F048;Luca;10;5;male;2005
DEA1F048;Lukas;10;5;male;2005
DEA1F048;Alexander;9;9;male;2005
DEA1F048;Marvin;9;9;male;2005
DEA1F048;Erik;8;11;male;2005
DEA1F048;Justin;8;11;male;2005
DEA1F048;Tim;8;11;male;2005
DEA1F048;Ben;7;14;male;2005
DEA1F048;Nick;7;14;male;2005
DEA1F048;Niklas;7;14;male;2005
DEA1F048;Noah;7;14;male;2005
DEA1F048;Can;6;18;male;2005
DEA1F048;Elias;6;18;male;2005
DEA1F048;Florian;6;18;male;2005
DEA1F048;Philipp;6;18;male;2005
DEA1F048;Tobias;6;18;male;2005
DEA1F048;Christian;5;23;male;2005
DEA1F048;Joel;5;23;male;2005
DEA1F048;Jonas;5;23;male;2005
DEA1F048;Julien;5;23;male;2005
DEA1F048;Max;5;23;male;2005
DEA1F048;Miguel;5;23;male;2005
DEA1F048;Moritz;5;23;male;2005
DEA1F048;Nils;5;23;male;2005
DEA1F048;Sebastian;5;23;male;2005
DEA1F048;Simon;5;23;male;2005
DEA1F048;Finn;4;33;male;2005
DEA1F048;Jason;4;33;male;2005
DEA1F048;Johannes;4;33;male;2005
DEA1F048;Julius;4;33;male;2005
DEA1F048;Luis;4;33;male;2005
DEA1F048;Maurice;4;33;male;2005
DEA1F048;Michael;4;33;male;2005
DEA1F048;Ole;4;33;male;2005
DEA1F048;Pascal;4;33;male;2005
DEA1F048;Robin;4;33;male;2005
DEA1F048;Stefan;4;33;male;2005
DEA1F048;Vincent;4;33;male;2005
DEA1F048;Aaron;3;45;male;2005
DEA1F048;Benedikt;3;45;male;2005
DEA1F048;Benjamin;3;45;male;2005
DEA1F048;Connor;3;45;male;2005
DEA1F048;Daniel;3;45;male;2005
DEA1F048;Eren;3;45;male;2005
DEA1F048;Hendrik;3;45;male;2005
DEA1F048;Henry;3;45;male;2005
DEA1F048;Jakob;3;45;male;2005
DEA1F048;Julian;3;45;male;2005
DEA1F048;Kai;3;45;male;2005
DEA1F048;Lars;3;45;male;2005
DEA1F048;Lennart;3;45;male;2005
DEA1F048;Luka;3;45;male;2005
DEA1F048;Maik;3;45;male;2005
DEA1F048;Matthias;3;45;male;2005
DEA1F048;Muhammed;3;45;male;2005
DEA1F048;René;3;45;male;2005
DEA1F048;Robert;3;45;male;2005
DEA1F048;Sven;3;45;male;2005
DEA1F048;Yannick;3;45;male;2005
DEA1F048;Albin;2;66;male;2005
DEA1F048;Alex;2;66;male;2005
DEA1F048;Ali;2;66;male;2005
DEA1F048;Andreas;2;66;male;2005
DEA1F048;Beni;2;66;male;2005
DEA1F048;Clemens;2;66;male;2005
DEA1F048;Colin;2;66;male;2005
DEA1F048;Darius;2;66;male;2005
DEA1F048;David;2;66;male;2005
DEA1F048;Dennis;2;66;male;2005
DEA1F048;Dominik;2;66;male;2005
DEA1F048;Dustin;2;66;male;2005
DEA1F048;Emre;2;66;male;2005
DEA1F048;Enrico;2;66;male;2005
DEA1F048;Fabio;2;66;male;2005
DEA1F048;Fynn;2;66;male;2005
DEA1F048;Gordon;2;66;male;2005
DEA1F048;Gottfried;2;66;male;2005
DEA1F048;Hans;2;66;male;2005
