NUTS;GIVENNAME;COUNT;RANKING;SEX;YEAR
DEA1F048;Marie;26;1;female;2009
DEA1F048;Emily;14;2;female;2009
DEA1F048;Sophie;14;2;female;2009
DEA1F048;Anna;12;4;female;2009
DEA1F048;Emma;12;4;female;2009
DEA1F048;Johanna;12;4;female;2009
DEA1F048;Elisabeth;7;7;female;2009
DEA1F048;Leni;7;7;female;2009
DEA1F048;Leonie;7;7;female;2009
DEA1F048;Mia;7;7;female;2009
DEA1F048;Laura;6;11;female;2009
DEA1F048;Lea;6;11;female;2009
DEA1F048;Nele;6;11;female;2009
DEA1F048;Zoe;6;11;female;2009
DEA1F048;Amelie;5;15;female;2009
DEA1F048;Hannah;5;15;female;2009
DEA1F048;Jette;5;15;female;2009
DEA1F048;Jule;5;15;female;2009
DEA1F048;Julia;5;15;female;2009
DEA1F048;Lara;5;15;female;2009
DEA1F048;Lia;5;15;female;2009
DEA1F048;Lina;5;15;female;2009
DEA1F048;Maria;5;15;female;2009
DEA1F048;Ida;4;24;female;2009
DEA1F048;Josephine;4;24;female;2009
DEA1F048;Lena;4;24;female;2009
DEA1F048;Lisa;4;24;female;2009
DEA1F048;Lucy;4;24;female;2009
DEA1F048;Paula;4;24;female;2009
DEA1F048;Ronja;4;24;female;2009
DEA1F048;Sarah;4;24;female;2009
DEA1F048;Sophia;4;24;female;2009
DEA1F048;Dana;3;33;female;2009
DEA1F048;Elena;3;33;female;2009
DEA1F048;Elisa;3;33;female;2009
DEA1F048;Emilia;3;33;female;2009
DEA1F048;Fiona;3;33;female;2009
DEA1F048;Jasmin;3;33;female;2009
DEA1F048;Josefine;3;33;female;2009
DEA1F048;Lotta;3;33;female;2009
DEA1F048;Luana;3;33;female;2009
DEA1F048;Lucia;3;33;female;2009
DEA1F048;Luisa;3;33;female;2009
DEA1F048;Mara;3;33;female;2009
DEA1F048;Maya;3;33;female;2009
DEA1F048;Melissa;3;33;female;2009
DEA1F048;Mira;3;33;female;2009
DEA1F048;Neele;3;33;female;2009
DEA1F048;Patricia;3;33;female;2009
DEA1F048;Alina;2;50;female;2009
DEA1F048;Angelina;2;50;female;2009
DEA1F048;Astrid;2;50;female;2009
DEA1F048;Carla;2;50;female;2009
DEA1F048;Celine;2;50;female;2009
DEA1F048;Chayenne;2;50;female;2009
DEA1F048;Chiara;2;50;female;2009
DEA1F048;Christina;2;50;female;2009
DEA1F048;Clara;2;50;female;2009
DEA1F048;Cornelia;2;50;female;2009
DEA1F048;Dilara;2;50;female;2009
DEA1F048;Eva;2;50;female;2009
DEA1F048;Fabienne;2;50;female;2009
DEA1F048;Franziska;2;50;female;2009
DEA1F048;Frida;2;50;female;2009
DEA1F048;Gerda;2;50;female;2009
DEA1F048;Gloria;2;50;female;2009
DEA1F048;Havin;2;50;female;2009
DEA1F048;Helena;2;50;female;2009
DEA1F048;Henriette;2;50;female;2009
DEA1F048;Isabella;2;50;female;2009
DEA1F048;Jana;2;50;female;2009
DEA1F048;Josefin;2;50;female;2009
DEA1F048;Joy;2;50;female;2009
DEA1F048;Juliette;2;50;female;2009
DEA1F048;Katharina;2;50;female;2009
DEA1F048;Kim;2;50;female;2009
DEA1F048;Lenya;2;50;female;2009
DEA1F048;Liliana;2;50;female;2009
DEA1F048;Lynn;2;50;female;2009
DEA1F048;Marlene;2;50;female;2009
DEA1F048;Martha;2;50;female;2009
DEA1F048;Medine;2;50;female;2009
DEA1F048;Melody;2;50;female;2009
DEA1F048;Miriam;2;50;female;2009
DEA1F048;Nina;2;50;female;2009
DEA1F048;Nisa;2;50;female;2009
DEA1F048;Pia;2;50;female;2009
DEA1F048;Romy;2;50;female;2009
DEA1F048;Samantha;2;50;female;2009
DEA1F048;Samira;2;50;female;2009
DEA1F048;Sina;2;50;female;2009
DEA1F048;Sofie;2;50;female;2009
DEA1F048;Tabea;2;50;female;2009
DEA1F048;Tamara;2;50;female;2009
DEA1F048;Tarja;2;50;female;2009
DEA1F048;Tuana;2;50;female;2009
DEA1F048;Vanessa;2;50;female;2009
DEA1F048;Veronika;2;50;female;2009
DEA1F048;Aaliyah;1;99;female;2009
DEA1F048;Abigail;1;99;female;2009
DEA1F048;Adia;1;99;female;2009
DEA1F048;Aenne;1;99;female;2009
DEA1F048;Agathe;1;99;female;2009
DEA1F048;Aileen;1;99;female;2009
DEA1F048;Alea;1;99;female;2009
DEA1F048;Alessa;1;99;female;2009
DEA1F048;Alessandra;1;99;female;2009
DEA1F048;Alexa;1;99;female;2009
DEA1F048;Aleyna;1;99;female;2009
DEA1F048;Aliah;1;99;female;2009
DEA1F048;Alicia;1;99;female;2009
DEA1F048;Alisa;1;99;female;2009
DEA1F048;Aliya;1;99;female;2009
DEA1F048;Amalija;1;99;female;2009
DEA1F048;Amani;1;99;female;2009
DEA1F048;Amira;1;99;female;2009
DEA1F048;Amy;1;99;female;2009
DEA1F048;Amélie;1;99;female;2009
DEA1F048;Anastacia;1;99;female;2009
DEA1F048;Anastasia;1;99;female;2009
DEA1F048;Anesa;1;99;female;2009
DEA1F048;Angel-Sun;1;99;female;2009
DEA1F048;Angela;1;99;female;2009
DEA1F048;Angeli;1;99;female;2009
DEA1F048;Anika;1;99;female;2009
DEA1F048;Ann;1;99;female;2009
DEA1F048;Ann-Jolina;1;99;female;2009
DEA1F048;Anna-Lena;1;99;female;2009
DEA1F048;Anna-Louisa;1;99;female;2009
DEA1F048;Annbritt;1;99;female;2009
DEA1F048;Anne;1;99;female;2009
DEA1F048;Anneliese;1;99;female;2009
DEA1F048;Ariana;1;99;female;2009
DEA1F048;Arthuri;1;99;female;2009
DEA1F048;Asli;1;99;female;2009
DEA1F048;Aurelia;1;99;female;2009
DEA1F048;Ava;1;99;female;2009
DEA1F048;Ayla;1;99;female;2009
DEA1F048;Aylin;1;99;female;2009
DEA1F048;Beeke;1;99;female;2009
DEA1F048;Belfin;1;99;female;2009
DEA1F048;Berfin;1;99;female;2009
DEA1F048;Besse;1;99;female;2009
DEA1F048;Bhaumik;1;99;female;2009
DEA1F048;Brigitte;1;99;female;2009
DEA1F048;Carlotta;1;99;female;2009
DEA1F048;Carmen;1;99;female;2009
DEA1F048;Cassy-Rihanna;1;99;female;2009
DEA1F048;Catharina;1;99;female;2009
DEA1F048;Cathleen;1;99;female;2009
DEA1F048;Celina;1;99;female;2009
DEA1F048;Ceylin;1;99;female;2009
DEA1F048;Channel;1;99;female;2009
DEA1F048;Charlotte;1;99;female;2009
DEA1F048;Cheyenne;1;99;female;2009
DEA1F048;Chi;1;99;female;2009
DEA1F048;Christa;1;99;female;2009
DEA1F048;Christiane;1;99;female;2009
DEA1F048;Christine;1;99;female;2009
DEA1F048;Cindy-Lou;1;99;female;2009
DEA1F048;Claudia;1;99;female;2009
DEA1F048;Cora;1;99;female;2009
DEA1F048;Corina;1;99;female;2009
DEA1F048;Cäcilie;1;99;female;2009
DEA1F048;Danya;1;99;female;2009
DEA1F048;Delphine;1;99;female;2009
DEA1F048;Dennise;1;99;female;2009
DEA1F048;Dorena;1;99;female;2009
DEA1F048;Dorothea;1;99;female;2009
DEA1F048;Duygu;1;99;female;2009
DEA1F048;Ecrin;1;99;female;2009
DEA1F048;Eileen;1;99;female;2009
DEA1F048;Elif;1;99;female;2009
DEA1F048;Elin;1;99;female;2009
DEA1F048;Elina;1;99;female;2009
DEA1F048;Elma;1;99;female;2009
DEA1F048;Elmedina;1;99;female;2009
DEA1F048;Emelie-Celine;1;99;female;2009
DEA1F048;Emely;1;99;female;2009
DEA1F048;Emilie;1;99;female;2009
DEA1F048;Emmi;1;99;female;2009
DEA1F048;Erjona;1;99;female;2009
DEA1F048;Fabièn;1;99;female;2009
DEA1F048;Fatima;1;99;female;2009
DEA1F048;Faye;1;99;female;2009
DEA1F048;Fee;1;99;female;2009
DEA1F048;Felek;1;99;female;2009
DEA1F048;Fenja;1;99;female;2009
DEA1F048;Fine;1;99;female;2009
DEA1F048;Finya;1;99;female;2009
DEA1F048;Francis;1;99;female;2009
DEA1F048;Franka;1;99;female;2009
DEA1F048;Freya;1;99;female;2009
DEA1F048;Gabriela;1;99;female;2009
DEA1F048;Gabriele;1;99;female;2009
DEA1F048;Greta;1;99;female;2009
DEA1F048;Gudrun;1;99;female;2009
DEA1F048;Guiline;1;99;female;2009
DEA1F048;Gulê;1;99;female;2009
