NUTS;GIVENNAME;COUNT;RANKING;SEX;YEAR
DEA22;Alexander;96;1;male;2015
DEA22;Maximilian;72;2;male;2015
DEA22;Elias;61;3;male;2015
DEA22;Noah;59;4;male;2015
DEA22;David;55;5;male;2015
DEA22;Jonas;55;5;male;2015
DEA22;Paul;55;5;male;2015
DEA22;Jan;52;8;male;2015
DEA22;Anton;51;9;male;2015
DEA22;Jakob;50;10;male;2015
DEA22;Felix;46;11;male;2015
DEA22;Ben;38;12;male;2015
DEA22;Emil;38;12;male;2015
DEA22;Lukas;37;14;male;2015
DEA22;Jonathan;36;15;male;2015
DEA22;Leon;36;15;male;2015
DEA22;Philipp;35;17;male;2015
DEA22;Tim;34;18;male;2015
DEA22;Julian;33;19;male;2015
DEA22;Daniel;31;20;male;2015
DEA22;Julius;31;20;male;2015
DEA22;Benjamin;29;22;male;2015
DEA22;Max;29;22;male;2015
DEA22;Niklas;29;22;male;2015
DEA22;Johannes;28;25;male;2015
DEA22;Leo;28;25;male;2015
DEA22;Fabian;27;27;male;2015
DEA22;Leonard;27;27;male;2015
DEA22;Vincent;27;27;male;2015
DEA22;Finn;26;30;male;2015
DEA22;Johann;26;30;male;2015
DEA22;Moritz;26;30;male;2015
DEA22;Henri;25;33;male;2015
DEA22;Louis;25;33;male;2015
DEA22;Erik;24;35;male;2015
DEA22;Florian;23;36;male;2015
DEA22;Luca;23;36;male;2015
DEA22;Samuel;23;36;male;2015
DEA22;Adam;22;39;male;2015
DEA22;Liam;22;39;male;2015
DEA22;Benedikt;21;41;male;2015
DEA22;Luis;21;41;male;2015
DEA22;Tom;21;41;male;2015
DEA22;Simon;20;44;male;2015
DEA22;Theo;20;44;male;2015
DEA22;Mohamed;19;46;male;2015
DEA22;Christian;18;47;male;2015
DEA22;Gabriel;18;47;male;2015
DEA22;Michael;18;47;male;2015
DEA22;Oskar;18;47;male;2015
DEA22;Constantin;17;51;male;2015
DEA22;Friedrich;17;51;male;2015
DEA22;Justus;17;51;male;2015
DEA22;Karl;17;51;male;2015
DEA22;Matthias;17;51;male;2015
DEA22;Milan;17;51;male;2015
DEA22;Theodor;17;51;male;2015
DEA22;Ferdinand;16;58;male;2015
DEA22;Henry;16;58;male;2015
DEA22;Mats;16;58;male;2015
DEA22;Maxim;16;58;male;2015
DEA22;Tobias;16;58;male;2015
DEA22;Joel;15;63;male;2015
DEA22;Konstantin;15;63;male;2015
DEA22;Levi;15;63;male;2015
DEA22;Valentin;15;63;male;2015
DEA22;Ali;14;67;male;2015
DEA22;Carl;14;67;male;2015
DEA22;Frederik;14;67;male;2015
DEA22;Jonah;14;67;male;2015
DEA22;Joshua;14;67;male;2015
DEA22;Lennart;14;67;male;2015
DEA22;Linus;14;67;male;2015
DEA22;Ole;14;67;male;2015
DEA22;Georg;13;75;male;2015
DEA22;Sebastian;13;75;male;2015
DEA22;Lennard;12;77;male;2015
DEA22;Luke;12;77;male;2015
DEA22;Mattis;12;77;male;2015
DEA22;Nils;12;77;male;2015
DEA22;Peter;12;77;male;2015
DEA22;Raphael;12;77;male;2015
DEA22;Aaron;11;83;male;2015
DEA22;Adrian;11;83;male;2015
DEA22;Amin;11;83;male;2015
DEA22;Fynn;11;83;male;2015
DEA22;Jasper;11;83;male;2015
DEA22;Josef;11;83;male;2015
DEA22;Malik;11;83;male;2015
DEA22;Matteo;11;83;male;2015
DEA22;Mohammed;11;83;male;2015
DEA22;Timo;11;83;male;2015
DEA22;Hamza;10;93;male;2015
DEA22;Ibrahim;10;93;male;2015
DEA22;Lucas;10;93;male;2015
DEA22;Noel;10;93;male;2015
DEA22;Philip;10;93;male;2015
DEA22;Wilhelm;10;93;male;2015
DEA22;Andreas;9;99;male;2015
DEA22;Can;9;99;male;2015
DEA22;Jannis;9;99;male;2015
DEA22;Jona;9;99;male;2015
DEA22;Lasse;9;99;male;2015
DEA22;Manuel;9;99;male;2015
DEA22;Martin;9;99;male;2015
DEA22;Nick;9;99;male;2015
DEA22;Rafael;9;99;male;2015
DEA22;Robert;9;99;male;2015
DEA22;Till;9;99;male;2015
DEA22;Titus;9;99;male;2015
DEA22;Bruno;8;111;male;2015
DEA22;Emilio;8;111;male;2015
DEA22;Hassan;8;111;male;2015
DEA22;Kilian;8;111;male;2015
DEA22;Levin;8;111;male;2015
DEA22;Marc;8;111;male;2015
DEA22;Michel;8;111;male;2015
DEA22;Mika;8;111;male;2015
DEA22;Muhammed;8;111;male;2015
DEA22;Nicolas;8;111;male;2015
DEA22;Omar;8;111;male;2015
DEA22;Rayan;8;111;male;2015
DEA22;Robin;8;111;male;2015
DEA22;Thomas;8;111;male;2015
DEA22;Yusuf;8;111;male;2015
DEA22;Arthur;7;126;male;2015
DEA22;Artur;7;126;male;2015
DEA22;Benedict;7;126;male;2015
DEA22;Christoph;7;126;male;2015
DEA22;Damian;7;126;male;2015
DEA22;Dominik;7;126;male;2015
DEA22;Franz;7;126;male;2015
DEA22;Fritz;7;126;male;2015
DEA22;Ilias;7;126;male;2015
DEA22;Konrad;7;126;male;2015
DEA22;Leonardo;7;126;male;2015
DEA22;Leopold;7;126;male;2015
DEA22;Magnus;7;126;male;2015
DEA22;Mustafa;7;126;male;2015
DEA22;Oliver;7;126;male;2015
DEA22;Sam;7;126;male;2015
DEA22;Albert;6;142;male;2015
DEA22;Amir;6;142;male;2015
DEA22;Arne;6;142;male;2015
DEA22;Clemens;6;142;male;2015
DEA22;Elyas;6;142;male;2015
DEA22;Hannes;6;142;male;2015
DEA22;Hendrik;6;142;male;2015
DEA22;Jacob;6;142;male;2015
DEA22;Kai;6;142;male;2015
