NUTS;GIVENNAME;COUNT;RANKING;SEX;YEAR
DEA22;Marie;155;1;female;2016
DEA22;Sophie;131;2;female;2016
DEA22;Maria;92;3;female;2016
DEA22;Johanna;74;4;female;2016
DEA22;Sophia;66;5;female;2016
DEA22;Charlotte;62;6;female;2016
DEA22;Anna;60;7;female;2016
DEA22;Emilia;56;8;female;2016
DEA22;Mia;55;9;female;2016
DEA22;Emma;46;10;female;2016
DEA22;Lina;44;11;female;2016
DEA22;Elisabeth;38;12;female;2016
DEA22;Lena;38;12;female;2016
DEA22;Katharina;36;14;female;2016
DEA22;Luisa;35;15;female;2016
DEA22;Leonie;33;16;female;2016
DEA22;Mila;33;16;female;2016
DEA22;Clara;32;18;female;2016
DEA22;Ida;32;18;female;2016
DEA22;Laura;31;20;female;2016
DEA22;Paula;31;20;female;2016
DEA22;Luise;30;22;female;2016
DEA22;Lea;29;23;female;2016
DEA22;Sofia;29;23;female;2016
DEA22;Leni;27;25;female;2016
DEA22;Marlene;27;25;female;2016
DEA22;Greta;26;27;female;2016
DEA22;Victoria;25;28;female;2016
DEA22;Amelie;24;29;female;2016
DEA22;Hanna;24;29;female;2016
DEA22;Sarah;24;29;female;2016
DEA22;Josefine;23;32;female;2016
DEA22;Julia;23;32;female;2016
DEA22;Lara;23;32;female;2016
DEA22;Mathilda;23;32;female;2016
DEA22;Viktoria;23;32;female;2016
DEA22;Ella;22;37;female;2016
DEA22;Hannah;22;37;female;2016
DEA22;Lotta;22;37;female;2016
DEA22;Elisa;21;40;female;2016
DEA22;Lisa;21;40;female;2016
DEA22;Antonia;20;42;female;2016
DEA22;Emily;20;42;female;2016
DEA22;Jana;19;44;female;2016
DEA22;Klara;19;44;female;2016
DEA22;Nele;18;46;female;2016
DEA22;Nora;18;46;female;2016
DEA22;Frieda;17;48;female;2016
DEA22;Maya;17;48;female;2016
DEA22;Mira;17;48;female;2016
DEA22;Frida;16;51;female;2016
DEA22;Eva;14;52;female;2016
DEA22;Sara;14;52;female;2016
DEA22;Theresa;14;52;female;2016
DEA22;Ava;13;55;female;2016
DEA22;Carlotta;13;55;female;2016
DEA22;Louisa;13;55;female;2016
DEA22;Matilda;13;55;female;2016
DEA22;Alexandra;12;59;female;2016
DEA22;Annika;12;59;female;2016
DEA22;Josephine;12;59;female;2016
DEA22;Lia;12;59;female;2016
DEA22;Maja;12;59;female;2016
DEA22;Mina;12;59;female;2016
DEA22;Pauline;12;59;female;2016
DEA22;Alina;11;66;female;2016
DEA22;Flora;11;66;female;2016
DEA22;Linda;11;66;female;2016
DEA22;Melina;11;66;female;2016
DEA22;Merle;11;66;female;2016
DEA22;Sofie;11;66;female;2016
DEA22;Valentina;11;66;female;2016
DEA22;Elena;10;73;female;2016
DEA22;Elina;10;73;female;2016
DEA22;Emilie;10;73;female;2016
DEA22;Franziska;10;73;female;2016
DEA22;Helene;10;73;female;2016
DEA22;Isabella;10;73;female;2016
DEA22;Juna;10;73;female;2016
DEA22;Paulina;10;73;female;2016
DEA22;Amalia;9;81;female;2016
DEA22;Helena;9;81;female;2016
DEA22;Isabel;9;81;female;2016
