NUTS;GIVENNAME;COUNT;RANKING;SEX;YEAR
DEA2D002;Maximilian;40;1;male;2014
DEA2D002;Felix;33;2;male;2014
DEA2D002;Elias;31;3;male;2014
DEA2D002;Alexander;29;4;male;2014
DEA2D002;Emil;24;5;male;2014
DEA2D002;Jonathan;24;5;male;2014
DEA2D002;Noah;24;5;male;2014
DEA2D002;Jakob;23;8;male;2014
DEA2D002;Karl;22;9;male;2014
DEA2D002;Luca;22;9;male;2014
DEA2D002;Julian;21;11;male;2014
DEA2D002;Jonas;20;12;male;2014
DEA2D002;Max;20;12;male;2014
DEA2D002;Paul;19;14;male;2014
DEA2D002;Jan;18;15;male;2014
DEA2D002;Leon;18;15;male;2014
DEA2D002;Gabriel;17;17;male;2014
DEA2D002;Ben;16;18;male;2014
DEA2D002;Moritz;16;18;male;2014
DEA2D002;David;15;20;male;2014
DEA2D002;Leo;15;20;male;2014
DEA2D002;Finn;14;22;male;2014
DEA2D002;Louis;14;22;male;2014
DEA2D002;Lukas;14;22;male;2014
DEA2D002;Samuel;14;22;male;2014
DEA2D002;Julius;13;26;male;2014
DEA2D002;Linus;13;26;male;2014
DEA2D002;Anton;12;28;male;2014
DEA2D002;Erik;12;28;male;2014
DEA2D002;Florian;12;28;male;2014
DEA2D002;Henri;12;28;male;2014
DEA2D002;Lars;12;28;male;2014
DEA2D002;Mats;12;28;male;2014
DEA2D002;Peter;12;28;male;2014
DEA2D002;Simon;12;28;male;2014
DEA2D002;Benjamin;11;36;male;2014
DEA2D002;Daniel;11;36;male;2014
DEA2D002;Johann;11;36;male;2014
DEA2D002;Liam;11;36;male;2014
DEA2D002;Mohamed;11;36;male;2014
DEA2D002;Tim;11;36;male;2014
DEA2D002;Adrian;10;42;male;2014
DEA2D002;Christian;10;42;male;2014
DEA2D002;Leonard;10;42;male;2014
DEA2D002;Mika;10;42;male;2014
DEA2D002;Carl;9;46;male;2014
DEA2D002;Johannes;9;46;male;2014
DEA2D002;Levi;9;46;male;2014
DEA2D002;Nick;9;46;male;2014
DEA2D002;Niklas;9;46;male;2014
DEA2D002;Valentin;9;46;male;2014
DEA2D002;Vincent;9;46;male;2014
DEA2D002;Adam;8;53;male;2014
DEA2D002;Ali;8;53;male;2014
DEA2D002;Frederik;8;53;male;2014
DEA2D002;Konstantin;8;53;male;2014
DEA2D002;Luis;8;53;male;2014
DEA2D002;Oscar;8;53;male;2014
DEA2D002;Ahmed;7;59;male;2014
DEA2D002;Fabian;7;59;male;2014
DEA2D002;Henry;7;59;male;2014
DEA2D002;Jona;7;59;male;2014
DEA2D002;Justus;7;59;male;2014
DEA2D002;Lennard;7;59;male;2014
DEA2D002;Matteo;7;59;male;2014
DEA2D002;Oskar;7;59;male;2014
DEA2D002;Robin;7;59;male;2014
DEA2D002;Theo;7;59;male;2014
DEA2D002;Till;7;59;male;2014
DEA2D002;Yusuf;7;59;male;2014
DEA2D002;Friedrich;6;71;male;2014
DEA2D002;Georg;6;71;male;2014
DEA2D002;Joel;6;71;male;2014
DEA2D002;Josef;6;71;male;2014
DEA2D002;Joshua;6;71;male;2014
DEA2D002;Lasse;6;71;male;2014
DEA2D002;Marc;6;71;male;2014
DEA2D002;Mohammad;6;71;male;2014
DEA2D002;Mustafa;6;71;male;2014
DEA2D002;Nico;6;71;male;2014
DEA2D002;Nicolas;6;71;male;2014
DEA2D002;Nils;6;71;male;2014
DEA2D002;Raphael;6;71;male;2014
DEA2D002;Timo;6;71;male;2014
DEA2D002;Tobias;6;71;male;2014
DEA2D002;Tom;6;71;male;2014
DEA2D002;André;5;87;male;2014
DEA2D002;Arthur;5;87;male;2014
DEA2D002;Bennet;5;87;male;2014
DEA2D002;Bruno;5;87;male;2014
DEA2D002;Clemens;5;87;male;2014
DEA2D002;Damian;5;87;male;2014
DEA2D002;Elijah;5;87;male;2014
DEA2D002;Emir;5;87;male;2014
DEA2D002;Fritz;5;87;male;2014
DEA2D002;Ibrahim;5;87;male;2014
DEA2D002;Ilias;5;87;male;2014
DEA2D002;Kilian;5;87;male;2014
DEA2D002;Leander;5;87;male;2014
DEA2D002;Luke;5;87;male;2014
DEA2D002;Malik;5;87;male;2014
DEA2D002;Malte;5;87;male;2014
DEA2D002;Matthias;5;87;male;2014
DEA2D002;Milan;5;87;male;2014
DEA2D002;Milo;5;87;male;2014
DEA2D002;Ole;5;87;male;2014
DEA2D002;Phil;5;87;male;2014
DEA2D002;Philip;5;87;male;2014
DEA2D002;Sebastian;5;87;male;2014
DEA2D002;Stefan;5;87;male;2014
DEA2D002;Theodor;5;87;male;2014
DEA2D002;Thomas;5;87;male;2014
DEA2D002;Anas;4;113;male;2014
DEA2D002;Andreas;4;113;male;2014
DEA2D002;August;4;113;male;2014
DEA2D002;Benno;4;113;male;2014
DEA2D002;Bilal;4;113;male;2014
DEA2D002;Caspar;4;113;male;2014
