NUTS;GIVENNAME;COUNT;RANKING;SEX;YEAR
DEA2D002;Marie;74;1;female;2015
DEA2D002;Sophie;58;2;female;2015
DEA2D002;Maria;38;3;female;2015
DEA2D002;Katharina;34;4;female;2015
DEA2D002;Emilia;32;5;female;2015
DEA2D002;Mia;28;6;female;2015
DEA2D002;Emma;25;7;female;2015
DEA2D002;Anna;22;8;female;2015
DEA2D002;Clara;21;9;female;2015
DEA2D002;Johanna;20;10;female;2015
DEA2D002;Lena;19;11;female;2015
DEA2D002;Mila;19;11;female;2015
DEA2D002;Sophia;19;11;female;2015
DEA2D002;Charlotte;18;14;female;2015
DEA2D002;Greta;16;15;female;2015
DEA2D002;Elisabeth;15;16;female;2015
DEA2D002;Lea;15;16;female;2015
DEA2D002;Lina;15;16;female;2015
DEA2D002;Nele;15;16;female;2015
DEA2D002;Antonia;13;20;female;2015
DEA2D002;Elisa;13;20;female;2015
DEA2D002;Ella;13;20;female;2015
DEA2D002;Luisa;12;23;female;2015
DEA2D002;Frieda;11;24;female;2015
DEA2D002;Leni;11;24;female;2015
DEA2D002;Louisa;11;24;female;2015
DEA2D002;Maya;11;24;female;2015
DEA2D002;Sofia;11;24;female;2015
DEA2D002;Ida;10;29;female;2015
DEA2D002;Jana;10;29;female;2015
DEA2D002;Jule;10;29;female;2015
DEA2D002;Leonie;10;29;female;2015
DEA2D002;Sarah;10;29;female;2015
DEA2D002;Emily;9;34;female;2015
DEA2D002;Hannah;9;34;female;2015
DEA2D002;Helena;9;34;female;2015
DEA2D002;Lara;9;34;female;2015
DEA2D002;Lotta;9;34;female;2015
DEA2D002;Lucia;9;34;female;2015
DEA2D002;Marlene;9;34;female;2015
DEA2D002;Amelie;8;41;female;2015
DEA2D002;Eva;8;41;female;2015
DEA2D002;Frida;8;41;female;2015
DEA2D002;Julia;8;41;female;2015
DEA2D002;Lia;8;41;female;2015
DEA2D002;Luise;8;41;female;2015
DEA2D002;Luna;8;41;female;2015
